name,category,price,rating,description
Cookware Set,Home & Kitchen,4524.63,2.4,Home & Kitchen
Sneakers,Clothing,1507.01,2.5,Clothing
Tablet,Electronics,39699.85,3.9,Electronics
Face Cream,Beauty,37494.13,1.8,Beauty
Smartphone,Electronics,5850.81,1.3,Electronics
Self-Help Book,Books,16448.74,4.6,Books
Smartwatch,Electronics,11103.44,1.1,Electronics
Self-Help Book,Books,34255.39,2.9,Books
Smartwatch,Electronics,18304.18,1.6,Electronics
Table Lamp,Home & Kitchen,12771.91,3.2,Home & Kitchen
Comic Book,Books,2275.09,1.5,Books
Sneakers,Clothing,16468.59,4.5,Clothing
Cookware Set,Home & Kitchen,4934.99,4.6,Home & Kitchen
Table Lamp,Home & Kitchen,5258.29,2.5,Home & Kitchen
Hair Dryer,Beauty,32580.0,2.7,Beauty
Sofa Cover,Home & Kitchen,40298.9,1.2,Home & Kitchen
Tablet,Electronics,11236.19,2.6,Electronics
Self-Help Book,Books,32537.46,3.4,Books
Jeans,Clothing,6953.88,2.9,Clothing
Bedsheet,Home & Kitchen,32824.05,3.6,Home & Kitchen
Sneakers,Clothing,34459.99,1.4,Clothing
Educational Book,Books,13608.58,4.6,Books
Mixer Grinder,Home & Kitchen,32630.83,4.7,Home & Kitchen
Laptop,Electronics,24818.77,2.3,Electronics
Cookbook,Books,36645.35,2.5,Books
Jeans,Clothing,25668.96,4.8,Clothing
Dress,Clothing,44241.68,1.4,Clothing
Headphones,Electronics,39749.19,3.5,Electronics
Tablet,Electronics,37578.46,4.4,Electronics
Smartphone,Electronics,37203.65,3.5,Electronics
Self-Help Book,Books,22851.63,1.0,Books
Hair Dryer,Beauty,27627.84,1.8,Beauty
Self-Help Book,Books,31333.95,1.7,Books
Bedsheet,Home & Kitchen,30911.44,3.0,Home & Kitchen
Laptop,Electronics,11518.23,4.4,Electronics
Jeans,Clothing,43304.55,2.6,Clothing
Self-Help Book,Books,3710.07,4.2,Books
Perfume,Beauty,34621.21,1.8,Beauty
Headphones,Electronics,41742.29,2.6,Electronics
Bedsheet,Home & Kitchen,46858.63,3.5,Home & Kitchen
Smartwatch,Electronics,5413.09,3.4,Electronics
Laptop,Electronics,5880.45,2.0,Electronics
Comic Book,Books,35665.26,1.2,Books
Headphones,Electronics,42981.89,1.8,Electronics
Comic Book,Books,25629.88,2.9,Books
Perfume,Beauty,22475.94,3.5,Beauty
Sofa Cover,Home & Kitchen,33250.7,4.3,Home & Kitchen
Cookbook,Books,45045.03,3.8,Books
Bedsheet,Home & Kitchen,3955.86,4.7,Home & Kitchen
Perfume,Beauty,28169.11,2.7,Beauty
Face Cream,Beauty,42785.51,1.7,Beauty
Smartphone,Electronics,25614.35,3.5,Electronics
Mixer Grinder,Home & Kitchen,7771.58,3.6,Home & Kitchen
Cookbook,Books,31059.47,4.8,Books
Educational Book,Books,14506.11,3.5,Books
Smartwatch,Electronics,16272.38,1.4,Electronics
T-Shirt,Clothing,29222.92,2.7,Clothing
Educational Book,Books,1483.5,4.3,Books
Self-Help Book,Books,35629.55,2.0,Books
Jacket,Clothing,1987.98,3.3,Clothing
Educational Book,Books,37590.44,1.8,Books
Mixer Grinder,Home & Kitchen,31759.49,2.0,Home & Kitchen
Shampoo,Beauty,18787.05,1.1,Beauty
Educational Book,Books,17066.16,2.8,Books
Jacket,Clothing,15068.72,1.4,Clothing
Smartphone,Electronics,44334.11,2.6,Electronics
Smartphone,Electronics,11183.75,4.9,Electronics
Cookware Set,Home & Kitchen,2923.95,1.1,Home & Kitchen
Shampoo,Beauty,7339.66,1.1,Beauty
Table Lamp,Home & Kitchen,41405.37,4.6,Home & Kitchen
Mixer Grinder,Home & Kitchen,36114.38,4.6,Home & Kitchen
Smartphone,Electronics,19915.59,1.2,Electronics
Smartphone,Electronics,18366.97,1.2,Electronics
Smartphone,Electronics,8563.14,3.1,Electronics
Hair Dryer,Beauty,40461.79,4.9,Beauty
Jacket,Clothing,6943.4,1.5,Clothing
Shampoo,Beauty,14517.08,3.0,Beauty
Tablet,Electronics,4248.25,4.1,Electronics
Mixer Grinder,Home & Kitchen,43118.73,3.1,Home & Kitchen
Dress,Clothing,10086.76,1.9,Clothing
Face Cream,Beauty,35373.5,2.9,Beauty
Table Lamp,Home & Kitchen,43002.68,4.2,Home & Kitchen
Laptop,Electronics,46388.81,4.4,Electronics
Cookbook,Books,47384.51,1.5,Books
Jacket,Clothing,15826.47,4.4,Clothing
Shampoo,Beauty,33927.57,2.6,Beauty
Tablet,Electronics,27400.84,3.6,Electronics
Tablet,Electronics,37684.28,3.2,Electronics
Sneakers,Clothing,22968.18,4.1,Clothing
Sofa Cover,Home & Kitchen,43444.93,4.0,Home & Kitchen
Headphones,Electronics,36083.22,2.9,Electronics
Cookware Set,Home & Kitchen,43043.82,4.1,Home & Kitchen
Smartwatch,Electronics,1517.63,2.0,Electronics
Fiction Novel,Books,1626.1,2.8,Books
T-Shirt,Clothing,40384.62,4.2,Clothing
T-Shirt,Clothing,37295.08,4.0,Clothing
Sneakers,Clothing,13915.5,3.9,Clothing
Smartphone,Electronics,23625.05,2.0,Electronics
Mixer Grinder,Home & Kitchen,464.18,4.1,Home & Kitchen
T-Shirt,Clothing,26667.15,1.9,Clothing
Fiction Novel,Books,29093.02,3.7,Books
Jacket,Clothing,44770.65,3.5,Clothing
Bedsheet,Home & Kitchen,32749.9,3.8,Home & Kitchen
Educational Book,Books,4990.66,4.6,Books
T-Shirt,Clothing,11044.89,1.5,Clothing
Fiction Novel,Books,46032.16,4.4,Books
Educational Book,Books,43965.67,1.1,Books
T-Shirt,Clothing,6037.98,3.6,Clothing
Comic Book,Books,22747.82,4.5,Books
Headphones,Electronics,26615.92,2.3,Electronics
Face Cream,Beauty,48234.31,1.8,Beauty
Table Lamp,Home & Kitchen,24172.56,3.1,Home & Kitchen
Fiction Novel,Books,16385.37,1.6,Books
T-Shirt,Clothing,29527.22,1.2,Clothing
Table Lamp,Home & Kitchen,42516.65,1.8,Home & Kitchen
Comic Book,Books,27175.37,3.9,Books
Dress,Clothing,25379.68,3.5,Clothing
Educational Book,Books,29568.18,1.3,Books
Fiction Novel,Books,23562.27,4.9,Books
Dress,Clothing,19134.26,4.6,Clothing
Fiction Novel,Books,10176.11,2.1,Books
Laptop,Electronics,48177.16,1.7,Electronics
Mixer Grinder,Home & Kitchen,6119.31,1.5,Home & Kitchen
Shampoo,Beauty,6015.13,1.9,Beauty
T-Shirt,Clothing,41198.84,3.0,Clothing
Cookbook,Books,11527.7,1.8,Books
Smartwatch,Electronics,27749.19,2.5,Electronics
Smartphone,Electronics,14014.82,4.6,Electronics
Smartphone,Electronics,23293.14,4.1,Electronics
Sneakers,Clothing,38592.49,3.2,Clothing
Smartphone,Electronics,39898.86,1.8,Electronics
Educational Book,Books,39842.5,4.4,Books
Fiction Novel,Books,30395.25,1.1,Books
Face Cream,Beauty,36560.32,2.5,Beauty
Cookware Set,Home & Kitchen,44248.09,3.1,Home & Kitchen
Tablet,Electronics,18386.26,1.4,Electronics
Jacket,Clothing,33683.4,3.8,Clothing
Hair Dryer,Beauty,49561.57,3.5,Beauty
Face Cream,Beauty,18551.65,2.6,Beauty
Headphones,Electronics,12249.35,2.9,Electronics
Jeans,Clothing,35305.39,2.2,Clothing
Smartwatch,Electronics,16790.46,4.3,Electronics
Jacket,Clothing,26096.96,3.5,Clothing
Self-Help Book,Books,34361.96,4.4,Books
Table Lamp,Home & Kitchen,46079.49,3.7,Home & Kitchen
Mixer Grinder,Home & Kitchen,47053.44,3.0,Home & Kitchen
Tablet,Electronics,18905.94,4.5,Electronics
Hair Dryer,Beauty,30977.18,3.3,Beauty
Table Lamp,Home & Kitchen,41841.57,1.1,Home & Kitchen
Laptop,Electronics,4277.15,2.1,Electronics
Sofa Cover,Home & Kitchen,15648.85,4.4,Home & Kitchen
Headphones,Electronics,26992.72,1.1,Electronics
Headphones,Electronics,49586.31,4.3,Electronics
Tablet,Electronics,37181.04,1.2,Electronics
Sneakers,Clothing,46090.65,3.3,Clothing
Educational Book,Books,48151.09,2.9,Books
Smartwatch,Electronics,8197.47,3.0,Electronics
Cookware Set,Home & Kitchen,40679.29,1.5,Home & Kitchen
Perfume,Beauty,45012.71,4.9,Beauty
Perfume,Beauty,5127.02,4.5,Beauty
Laptop,Electronics,13954.48,1.5,Electronics
T-Shirt,Clothing,26166.89,3.7,Clothing
Hair Dryer,Beauty,45072.69,2.6,Beauty
T-Shirt,Clothing,33543.19,3.7,Clothing
Self-Help Book,Books,34116.23,1.4,Books
Self-Help Book,Books,15466.4,2.9,Books
Laptop,Electronics,19879.4,3.2,Electronics
Sofa Cover,Home & Kitchen,11914.15,2.4,Home & Kitchen
Dress,Clothing,7936.32,1.5,Clothing
Educational Book,Books,7633.85,3.8,Books
Face Cream,Beauty,2470.82,2.0,Beauty
Sofa Cover,Home & Kitchen,908.47,4.6,Home & Kitchen
Table Lamp,Home & Kitchen,14102.56,2.9,Home & Kitchen
Laptop,Electronics,23287.93,2.0,Electronics
Mixer Grinder,Home & Kitchen,41333.21,4.0,Home & Kitchen
Educational Book,Books,35304.99,2.0,Books
Jeans,Clothing,22335.58,3.8,Clothing
Cookware Set,Home & Kitchen,40486.08,3.6,Home & Kitchen
Educational Book,Books,20353.4,2.9,Books
Laptop,Electronics,2258.27,4.8,Electronics
Smartphone,Electronics,704.55,4.0,Electronics
Table Lamp,Home & Kitchen,38629.0,4.0,Home & Kitchen
Fiction Novel,Books,37303.26,2.9,Books
Smartphone,Electronics,11507.22,1.4,Electronics
Table Lamp,Home & Kitchen,48710.25,1.7,Home & Kitchen
Educational Book,Books,20075.81,4.9,Books
Comic Book,Books,8448.77,3.8,Books
Sneakers,Clothing,29310.76,4.4,Clothing
Educational Book,Books,708.78,2.0,Books
Jacket,Clothing,24062.33,1.1,Clothing
Sneakers,Clothing,27827.66,4.5,Clothing
Smartwatch,Electronics,40862.87,1.4,Electronics
Sneakers,Clothing,11399.26,1.0,Clothing
Hair Dryer,Beauty,5463.13,3.9,Beauty
Comic Book,Books,8644.99,4.3,Books
Headphones,Electronics,27481.15,3.2,Electronics
Self-Help Book,Books,47819.23,1.1,Books
Lipstick,Beauty,7145.81,1.9,Beauty
Headphones,Electronics,29847.4,2.9,Electronics
Lipstick,Beauty,11186.35,1.1,Beauty
Educational Book,Books,36535.74,1.2,Books
Sneakers,Clothing,12046.9,3.2,Clothing
Hair Dryer,Beauty,7043.51,2.3,Beauty
Sneakers,Clothing,34369.57,1.6,Clothing
Sneakers,Clothing,4827.49,4.2,Clothing
Lipstick,Beauty,14851.66,1.9,Beauty
Jacket,Clothing,40248.27,3.9,Clothing
Jeans,Clothing,37135.36,3.0,Clothing
Shampoo,Beauty,25794.78,1.0,Beauty
Shampoo,Beauty,47564.29,3.5,Beauty
Mixer Grinder,Home & Kitchen,5500.92,2.3,Home & Kitchen
Comic Book,Books,904.29,3.5,Books
Smartwatch,Electronics,25035.46,4.5,Electronics
Sneakers,Clothing,30156.36,4.4,Clothing
Jacket,Clothing,42189.9,3.4,Clothing
Jeans,Clothing,41122.81,4.8,Clothing
T-Shirt,Clothing,21705.78,1.1,Clothing
Headphones,Electronics,28391.65,2.5,Electronics
Mixer Grinder,Home & Kitchen,40031.86,1.9,Home & Kitchen
Mixer Grinder,Home & Kitchen,41248.02,2.6,Home & Kitchen
Shampoo,Beauty,35325.38,4.1,Beauty
Mixer Grinder,Home & Kitchen,45866.22,3.9,Home & Kitchen
Dress,Clothing,42975.36,3.3,Clothing
Tablet,Electronics,7532.86,1.5,Electronics
Face Cream,Beauty,39931.75,2.4,Beauty
Headphones,Electronics,20760.44,2.4,Electronics
T-Shirt,Clothing,29466.3,1.3,Clothing
Face Cream,Beauty,756.85,4.8,Beauty
Smartwatch,Electronics,43711.45,4.5,Electronics
Comic Book,Books,1134.78,3.9,Books
Sofa Cover,Home & Kitchen,6859.0,1.6,Home & Kitchen
Self-Help Book,Books,28818.74,1.4,Books
Laptop,Electronics,25233.95,4.1,Electronics
Educational Book,Books,28577.34,2.7,Books
Bedsheet,Home & Kitchen,7322.87,5.0,Home & Kitchen
Fiction Novel,Books,25144.48,1.3,Books
Mixer Grinder,Home & Kitchen,16289.17,2.6,Home & Kitchen
Comic Book,Books,24973.13,3.2,Books
Cookware Set,Home & Kitchen,5804.38,2.2,Home & Kitchen
Jeans,Clothing,43502.85,4.2,Clothing
Smartphone,Electronics,46770.01,2.9,Electronics
Laptop,Electronics,38160.98,4.0,Electronics
Headphones,Electronics,14797.27,3.4,Electronics
Shampoo,Beauty,16951.57,2.0,Beauty
Smartphone,Electronics,20087.65,2.7,Electronics
Face Cream,Beauty,45544.54,3.0,Beauty
Shampoo,Beauty,4986.9,4.4,Beauty
Bedsheet,Home & Kitchen,37890.56,2.4,Home & Kitchen
Tablet,Electronics,26947.54,4.1,Electronics
Headphones,Electronics,16929.74,1.5,Electronics
Smartphone,Electronics,30310.92,3.5,Electronics
Educational Book,Books,33643.5,4.2,Books
Cookbook,Books,27847.81,4.3,Books
Educational Book,Books,19055.03,4.3,Books
Self-Help Book,Books,24012.7,4.8,Books
Sneakers,Clothing,8182.19,4.2,Clothing
Hair Dryer,Beauty,35810.63,1.2,Beauty
T-Shirt,Clothing,23433.86,3.8,Clothing
Tablet,Electronics,42946.11,3.2,Electronics
Sneakers,Clothing,3995.44,4.0,Clothing
Face Cream,Beauty,38728.75,4.0,Beauty
Jacket,Clothing,46205.47,2.7,Clothing
Jeans,Clothing,7631.48,3.0,Clothing
Comic Book,Books,4581.73,3.4,Books
Tablet,Electronics,9761.64,2.5,Electronics
Hair Dryer,Beauty,1582.84,2.9,Beauty
Laptop,Electronics,8902.26,2.4,Electronics
Sofa Cover,Home & Kitchen,1549.63,3.0,Home & Kitchen
Educational Book,Books,23520.5,1.2,Books
Face Cream,Beauty,18729.61,1.0,Beauty
Self-Help Book,Books,18085.73,4.1,Books
Lipstick,Beauty,29844.59,3.9,Beauty
Tablet,Electronics,12964.52,2.7,Electronics
Tablet,Electronics,43431.64,4.4,Electronics
Smartwatch,Electronics,31005.06,4.0,Electronics
Face Cream,Beauty,16010.24,1.6,Beauty
Headphones,Electronics,18451.91,4.9,Electronics
Smartwatch,Electronics,31793.09,4.8,Electronics
T-Shirt,Clothing,36666.62,2.1,Clothing
Smartphone,Electronics,38681.26,2.0,Electronics
Cookware Set,Home & Kitchen,29493.06,4.2,Home & Kitchen
Bedsheet,Home & Kitchen,30009.2,3.0,Home & Kitchen
T-Shirt,Clothing,23089.32,3.1,Clothing
Sofa Cover,Home & Kitchen,32460.13,3.7,Home & Kitchen
Smartwatch,Electronics,29509.14,4.1,Electronics
Educational Book,Books,5528.69,4.2,Books
Fiction Novel,Books,11864.67,2.8,Books
Sofa Cover,Home & Kitchen,14273.74,3.8,Home & Kitchen
Educational Book,Books,26806.06,4.3,Books
Jacket,Clothing,18757.07,4.2,Clothing
Self-Help Book,Books,19661.09,2.5,Books
Self-Help Book,Books,27434.25,3.8,Books
Educational Book,Books,6322.42,4.0,Books
Comic Book,Books,4316.82,3.6,Books
Dress,Clothing,45426.39,2.8,Clothing
Laptop,Electronics,14971.45,4.5,Electronics
Bedsheet,Home & Kitchen,12245.12,4.5,Home & Kitchen
Cookbook,Books,48405.89,4.9,Books
Hair Dryer,Beauty,12757.67,3.3,Beauty
Dress,Clothing,33071.09,3.5,Clothing
Hair Dryer,Beauty,4869.56,1.9,Beauty
T-Shirt,Clothing,45127.31,4.2,Clothing
Bedsheet,Home & Kitchen,8867.72,4.3,Home & Kitchen
Cookware Set,Home & Kitchen,31749.94,3.1,Home & Kitchen
Shampoo,Beauty,40944.77,2.9,Beauty
Table Lamp,Home & Kitchen,20859.61,4.9,Home & Kitchen
Educational Book,Books,6884.74,1.4,Books
Jeans,Clothing,40238.5,3.9,Clothing
Smartphone,Electronics,10422.28,3.5,Electronics
Self-Help Book,Books,13862.56,1.6,Books
Face Cream,Beauty,35911.22,4.1,Beauty
Jacket,Clothing,16523.69,2.8,Clothing
Lipstick,Beauty,6566.03,2.6,Beauty
Bedsheet,Home & Kitchen,18799.05,4.3,Home & Kitchen
Headphones,Electronics,8436.71,4.9,Electronics
Cookware Set,Home & Kitchen,19380.5,3.3,Home & Kitchen
Lipstick,Beauty,20228.05,1.2,Beauty
Laptop,Electronics,28606.86,4.8,Electronics
Fiction Novel,Books,16803.76,4.0,Books
Face Cream,Beauty,18093.34,4.2,Beauty
Tablet,Electronics,31737.13,4.0,Electronics
Lipstick,Beauty,49861.17,2.5,Beauty
Educational Book,Books,21233.35,1.7,Books
Sofa Cover,Home & Kitchen,776.91,4.2,Home & Kitchen
Lipstick,Beauty,25542.71,2.2,Beauty
Sneakers,Clothing,10818.28,1.6,Clothing
Tablet,Electronics,45801.19,2.4,Electronics
Face Cream,Beauty,6963.56,3.3,Beauty
Smartphone,Electronics,37082.11,4.4,Electronics
Cookbook,Books,6842.69,3.6,Books
Perfume,Beauty,7283.96,2.0,Beauty
Cookware Set,Home & Kitchen,218.58,4.8,Home & Kitchen
Laptop,Electronics,38689.7,1.9,Electronics
Table Lamp,Home & Kitchen,8863.97,4.5,Home & Kitchen
Sneakers,Clothing,12472.17,1.9,Clothing
Jeans,Clothing,8734.44,2.5,Clothing
Perfume,Beauty,32422.04,1.9,Beauty
Laptop,Electronics,45532.34,3.6,Electronics
Face Cream,Beauty,22534.8,1.4,Beauty
Self-Help Book,Books,26058.55,2.0,Books
Bedsheet,Home & Kitchen,13348.84,4.2,Home & Kitchen
Table Lamp,Home & Kitchen,46792.3,4.9,Home & Kitchen
Sofa Cover,Home & Kitchen,15764.25,4.0,Home & Kitchen
Smartwatch,Electronics,45019.0,4.7,Electronics
Dress,Clothing,42794.4,4.6,Clothing
Educational Book,Books,492.53,4.4,Books
Sofa Cover,Home & Kitchen,30721.51,3.4,Home & Kitchen
Cookware Set,Home & Kitchen,17162.64,4.7,Home & Kitchen
Cookbook,Books,45888.54,2.0,Books
